SampleID,School,Week,ChildID
0W_BUG616_1,BUG,0,BUG616
0W_BUG616_10,BUG,0,BUG616
0W_BUG616_11,BUG,0,BUG616
0W_BUG616_12,BUG,0,BUG616
0W_BUG616_13,BUG,0,BUG616
0W_BUG616_14,BUG,0,BUG616
0W_BUG616_15,BUG,0,BUG616
0W_BUG616_16,BUG,0,BUG616
0W_BUG616_17,BUG,0,BUG616
0W_BUG616_18,BUG,0,BUG616
0W_BUG616_19,BUG,0,BUG616
0W_BUG616_2,BUG,0,BUG616
0W_BUG616_20,BUG,0,BUG616
0W_BUG616_21,BUG,0,BUG616
0W_BUG616_22,BUG,0,BUG616
0W_BUG616_23,BUG,0,BUG616
0W_BUG616_24,BUG,0,BUG616
0W_BUG616_25,BUG,0,BUG616
0W_BUG616_26,BUG,0,BUG616
0W_BUG616_27,BUG,0,BUG616
0W_BUG616_28,BUG,0,BUG616
0W_BUG616_29,BUG,0,BUG616
0W_BUG616_3,BUG,0,BUG616
0W_BUG616_30,BUG,0,BUG616
0W_BUG616_31,BUG,0,BUG616
0W_BUG616_4,BUG,0,BUG616
0W_BUG616_5,BUG,0,BUG616
0W_BUG616_6,BUG,0,BUG616
0W_BUG616_7,BUG,0,BUG616
0W_BUG616_8,BUG,0,BUG616
0W_BUG616_9,BUG,0,BUG616
0W_BUG627_1,BUG,0,BUG627
0W_BUG627_10,BUG,0,BUG627
0W_BUG627_11,BUG,0,BUG627
0W_BUG627_12,BUG,0,BUG627
0W_BUG627_13,BUG,0,BUG627
0W_BUG627_14,BUG,0,BUG627
0W_BUG627_15,BUG,0,BUG627
0W_BUG627_16,BUG,0,BUG627
0W_BUG627_17,BUG,0,BUG627
0W_BUG627_18,BUG,0,BUG627
0W_BUG627_19,BUG,0,BUG627
0W_BUG627_2,BUG,0,BUG627
0W_BUG627_20,BUG,0,BUG627
0W_BUG627_21,BUG,0,BUG627
0W_BUG627_22,BUG,0,BUG627
0W_BUG627_23,BUG,0,BUG627
0W_BUG627_24,BUG,0,BUG627
0W_BUG627_25,BUG,0,BUG627
0W_BUG627_26,BUG,0,BUG627
0W_BUG627_27,BUG,0,BUG627
0W_BUG627_28,BUG,0,BUG627
0W_BUG627_29,BUG,0,BUG627
0W_BUG627_3,BUG,0,BUG627
0W_BUG627_30,BUG,0,BUG627
0W_BUG627_31,BUG,0,BUG627
0W_BUG627_4,BUG,0,BUG627
0W_BUG627_5,BUG,0,BUG627
0W_BUG627_6,BUG,0,BUG627
0W_BUG627_7,BUG,0,BUG627
0W_BUG627_8,BUG,0,BUG627
0W_BUG627_9,BUG,0,BUG627
0W_BUG719_1,BUG,0,BUG719
0W_BUG719_10,BUG,0,BUG719
0W_BUG719_11,BUG,0,BUG719
0W_BUG719_12,BUG,0,BUG719
0W_BUG719_13,BUG,0,BUG719
0W_BUG719_14,BUG,0,BUG719
0W_BUG719_15,BUG,0,BUG719
0W_BUG719_16,BUG,0,BUG719
0W_BUG719_17,BUG,0,BUG719
0W_BUG719_18,BUG,0,BUG719
